Date,CCMP_AdvPct,CCMP_MA50Pct,CN_AdvPct,CN_MA50Pct,DJI_ADX,DJI_Regime,HK_AdvPct,HK_MA50Pct,HSI_ADX,HSI_AdvPct,HSI_MA50Pct,HSI_Regime,HSTECH_ADX,HSTECH_AdvPct,HSTECH_MA50Pct,HSTECH_Regime,INDU_AdvPct,INDU_MA50Pct,JP_AdvPct,JP_MA50Pct,MID_AdvPct,MID_MA50Pct,N225_ADX,N225_Regime,NDX_ADX,NDX_Regime,NKY_AdvPct,NKY_MA50Pct,RAY_AdvPct,RAY_MA50Pct,RIY_AdvPct,RIY_MA50Pct,RTY_AdvPct,RTY_MA50Pct,S5COND_AdvPct,S5COND_MA50Pct,S5CONS_AdvPct,S5CONS_MA50Pct,S5ENRS_AdvPct,S5ENRS_MA50Pct,S5FINL_AdvPct,S5FINL_MA50Pct,S5HLTH_AdvPct,S5HLTH_MA50Pct,S5INDU_AdvPct,S5INDU_MA50Pct,S5INFT_AdvPct,S5INFT_MA50Pct,S5MATR_AdvPct,S5MATR_MA50Pct,S5TELS_AdvPct,S5TELS_MA50Pct,S5UTIL_AdvPct,S5UTIL_MA50Pct,SHCOMP_ADX,SHCOMP_AdvPct,SHCOMP_MA50Pct,SHCOMP_Regime,SICOM_AdvPct,SICOM_MA50Pct,SML_AdvPct,SML_MA50Pct,SPX_ADX,SPX_AdvPct,SPX_MA50Pct,SPX_Regime,SZCOMP_ADX,SZCOMP_Regime,US10Y,US_AdvPct,US_MA50Pct,VIX
2026-06-30,,,57.2,22.9,23.5,BULL,45.4,9.9,33.8,,,BEAR,27.7,,,BEAR,,,50.8,53.1,,,28.3,BULL,20.3,BULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,,,CHOPPY,,,,,22.2,,,CHOPPY,23.8,BULL,4.37,66.9,56.3,17.39
2026-07-01,56.7,52.92,,,23.5,BULL,,,32.7,81.1,9.68,BEAR,27.7,55.6,16.67,BEAR,45.7,77.22,,,42.2,66.0,28.3,BULL,20.3,BULL,46.2,55.56,47.7,66.28,49.4,62.61,46.8,68.17,46.8,57.45,45.7,62.86,23.8,38.1,59.2,72.37,40.7,77.97,45.7,77.22,64.9,51.35,19.2,50.0,56.5,21.74,12.9,90.32,18.3,54.5,23.5,CHOPPY,60.3,29.4,37.4,71.59,22.2,46.0,64.94,CHOPPY,23.8,BULL,4.41,,,16.66
2026-07-02,51.9,53.86,,,23.8,BULL,,,33.8,16.1,8.6,BEAR,27.7,55.6,16.67,BEAR,40.0,56.67,,,49.2,65.5,27.3,BULL,19.2,BULL,43.0,51.56,48.4,66.04,45.5,61.53,50.0,68.38,40.4,55.32,8.8,61.76,23.8,23.81,38.2,71.05,30.5,67.8,76.5,77.22,68.9,52.7,53.8,53.85,43.5,17.39,3.2,90.32,17.4,50.7,25.17,CHOPPY,70.7,32.6,53.2,71.43,21.1,42.3,62.48,BULL,23.3,BULL,4.47,,,16.38
2026-07-03,58.4,55.39,,,24.6,BULL,,,33.9,0.0,8.6,BEAR,28.6,70.0,20.0,BEAR,60.0,60.0,,,49.4,65.5,26.7,BULL,18.1,BULL,76.2,60.44,56.0,67.02,55.5,62.57,56.2,69.33,48.9,55.32,70.6,58.82,14.3,19.05,97.4,80.26,83.1,76.27,45.7,72.15,47.3,55.41,50.0,53.85,73.9,26.09,9.7,80.65,16.7,77.3,27.97,CHOPPY,33.3,29.8,51.2,72.92,19.9,59.3,63.87,BULL,23.0,BULL,4.47,,,16.26
2026-07-04,44.6,54.58,,,24.6,BULL,,,35.1,77.4,13.98,BEAR,28.4,73.3,20.0,BEAR,83.3,70.0,,,63.2,66.25,26.7,BULL,18.1,BULL,84.0,70.22,54.4,67.28,66.2,64.64,48.3,68.65,72.3,61.7,91.2,64.71,81.0,19.05,84.2,84.21,86.4,91.53,56.8,73.42,32.4,50.0,84.6,57.69,65.2,30.43,90.3,87.1,16.3,42.2,26.52,BEAR,63.5,33.4,54.6,72.71,19.9,71.2,67.47,BULL,21.5,CHOPPY,4.37,,,15.81
2026-07-07,0.0,54.82,,,25.6,BULL,,,35.4,87.0,19.35,BEAR,28.2,62.1,30.0,BEAR,0.0,70.0,,,0.0,66.25,25.9,BULL,17.6,CHOPPY,78.7,77.78,0.0,67.28,0.0,64.64,0.0,68.65,0.0,61.7,0.0,64.71,0.0,19.05,0.0,84.21,0.0,91.53,0.0,73.42,0.0,50.0,0.0,57.69,0.0,30.43,0.0,87.1,15.9,68.1,28.15,BEAR,45.4,31.4,0.0,72.71,19.1,0.0,67.47,BULL,20.1,CHOPPY,4.48,,,15.91
2026-07-08,35.6,52.61,,,26.7,BULL,,,33.5,20.9,19.35,BEAR,28.1,26.7,23.33,BEAR,60.0,66.67,,,40.6,62.25,22.2,CHOPPY,17.0,BULL,42.2,73.78,41.7,65.04,48.8,63.79,38.0,65.69,57.4,57.45,79.4,61.76,85.7,38.1,60.5,86.84,67.8,93.22,28.4,72.15,37.8,45.95,23.1,57.69,69.6,30.43,90.3,90.32,16.4,13.2,22.87,BEAR,20.2,27.8,40.9,70.72,18.2,56.9,67.86,BULL,18.7,CHOPPY,4.53,,,16.13
2026-07-09,35.6,52.61,,,28.0,BULL,,,34.5,20.9,19.35,BEAR,27.2,90.0,26.67,BEAR,60.0,66.67,,,40.6,62.25,23.6,BULL,17.3,CHOPPY,23.2,64.44,41.7,65.04,48.8,63.79,38.0,65.69,57.4,57.45,79.4,61.76,85.7,38.1,60.5,86.84,67.8,93.22,28.4,72.15,37.8,45.95,23.1,57.69,69.6,30.43,90.3,90.32,16.4,13.2,22.87,BEAR,30.0,24.8,40.9,70.72,17.6,56.9,67.86,BULL,18.7,CHOPPY,4.59,,,18.15
2026-07-10,34.1,51.25,,,27.4,BULL,,,33.5,79.3,25.81,BEAR,25.4,23.3,26.67,CHOPPY,20.0,63.33,,,22.8,57.75,22.2,CHOPPY,17.8,CHOPPY,34.5,64.89,27.9,62.35,22.8,60.06,30.6,63.53,14.9,40.43,23.5,64.71,81.0,38.1,10.5,81.58,13.6,89.83,18.5,68.35,51.4,50.0,15.4,53.85,8.7,30.43,12.9,83.87,17.0,32.7,20.69,BEAR,51.8,26.8,22.4,67.17,17.7,22.3,64.27,BULL,18.8,CHOPPY,4.55,,,16.04
2026-07-11,64.9,53.27,,,26.7,BULL,,,31.3,28.3,24.73,CHOPPY,24.2,76.7,26.67,CHOPPY,43.3,60.0,,,74.8,61.75,20.9,CHOPPY,17.3,BULL,42.0,63.56,67.7,64.12,66.9,61.92,68.2,65.26,80.9,44.68,14.7,55.88,14.3,33.33,71.1,88.16,62.7,93.22,64.2,67.09,87.8,52.7,53.8,50.0,60.9,30.43,19.4,80.65,17.9,47.7,21.37,BEAR,58.9,25.6,71.5,69.33,17.0,59.8,65.07,BULL,18.4,CHOPPY,4.55,,,15.55
